USER_ID,AGE_T,REGION_T,SEX_T,RELATIONSHIP_T
2112162,0,1,0,0
1073367,1,0,1,0
400162,4,2,1,1
1524343,3,1,0,0
741245,2,1,1,3
2563768,2,2,1,0
1406595,3,1,0,0
1137010,2,2,0,0
60343,3,2,0,1
225765,4,0,1,0
2530404,0,1,1,2
437881,2,3,0,0
1935793,1,3,1,1
134001,3,0,0,2
2607300,1,0,0,3
1008986,3,1,0,1
94565,0,2,1,2
828410,0,0,1,0
1805202,0,1,1,0
1922925,0,0,0,2
1435717,3,1,0,3
2277395,3,0,0,2
2305014,4,1,1,2
166041,2,0,0,2
2413320,3,1,0,0
87113,3,1,1,1
722591,2,2,0,3
2291306,3,3,1,1
2010770,2,0,0,3
255383,1,0,1,2
1873429,2,2,1,0
1647618,4,1,0,3
608234,0,1,0,3
42930,2,0,1,3
1462072,4,1,1,0
685565,3,3,0,0
3321,2,2,0,1
2554942,0,3,1,0
1874547,2,0,1,3
2269844,3,0,1,0
34907,3,1,1,2
1779903,1,0,0,2
2576424,2,0,0,2
230112,3,0,1,2
508727,3,2,1,1
1603525,0,2,1,3
172264,3,0,0,3
1182185,2,0,1,3
2275470,3,1,0,1
491531,3,1,0,1
1346432,4,0,1,3
1554712,4,1,1,1
1450941,2,0,0,2
1714116,4,0,1,1
2016488,2,2,0,1
1782762,2,1,0,1
1343170,1,1,1,2
2565752,1,0,0,0
435841,0,2,0,3
2242821,4,3,1,2
638824,2,0,1,3
2256485,0,2,0,2
101597,1,1,1,2
623036,3,1,0,0
1559445,4,0,1,1
1723381,3,3,1,2
1824586,2,0,0,3
2233105,1,0,2,1
682963,2,0,0,0
2529547,1,0,1,1
504620,2,1,0,3
1682104,3,3,0,2
16272,1,0,0,0
2491785,2,1,0,1
978412,2,3,0,1
2054145,2,1,1,3
2444240,3,2,1,2
547732,3,0,0,0
811790,1,1,1,3
31913,3,2,1,1
437111,2,2,1,2
640588,0,1,0,0
2625019,3,1,0,2
2605190,2,1,1,2
915,0,0,1,2
1430587,1,0,1,1
2544219,1,1,0,0
2603381,1,0,0,3
305344,4,1,0,3
2569099,1,0,1,1
2430356,3,1,1,2
885165,0,2,0,2
2380806,3,3,0,0
1512406,3,1,0,2
1774623,3,0,1,2
2226525,3,0,1,0
2537076,2,0,1,0
2060858,1,1,0,0
498469,2,3,1,2
68033,2,0,1,1
1819146,1,2,0,0
2088415,4,1,0,1
473070,0,2,2,0
1823641,3,0,1,2
1839976,4,2,0,0
14924,0,3,1,2
1852606,0,0,1,2
453694,2,0,0,2
921487,4,0,1,3
1022254,3,1,0,2
2464081,3,3,1,1
1228324,2,0,1,3
1563530,3,1,1,1
1181170,1,3,1,3
1357013,4,0,0,0
21722,2,0,0,2
288420,4,0,1,1
1739170,2,0,0,3
2584676,2,2,0,1
2013504,2,2,1,3
1245176,2,1,2,3
269524,1,3,1,3
661344,2,3,1,3
652324,3,3,0,2
2239213,2,0,1,0
863302,2,0,1,1
758850,4,1,0,1
1884755,2,1,1,0
544833,2,0,1,2
1562707,3,2,1,0
810700,1,0,1,1
837756,3,0,0,3
155164,4,1,1,0
493945,4,2,0,2
1565175,2,2,0,3
2005193,3,1,0,1
1605780,2,1,0,2
1294335,4,2,0,0
608576,2,1,1,3
659505,1,2,0,1
1604707,2,0,1,1
2630797,1,1,0,2
402266,3,3,1,1
752642,2,1,0,3
1906145,2,3,0,3
389872,3,1,0,2
1462866,0,2,0,0
1952116,0,3,0,3
54774,2,1,1,0
1776980,4,3,1,2
1494196,4,2,1,0
253794,3,2,0,2
1569513,4,2,0,2
596728,4,1,0,0
1107588,2,1,0,0
1133763,2,0,0,0
1398076,2,1,1,1
1178171,1,1,1,3
984369,3,3,0,0
2618594,1,1,0,3
1653834,1,0,0,0
2322840,0,0,1,0
2207647,3,0,0,3
1994111,3,1,1,1
1824044,3,0,0,0
2255037,0,0,0,0
2056022,2,1,1,2
1458179,2,2,0,3
1508350,2,2,0,0
1168571,2,1,0,1
766489,1,2,2,1
1424199,4,3,1,3
2054180,3,2,1,2
448902,0,1,1,0
1547173,1,0,0,3
1751103,2,0,1,0
121073,0,0,0,2
2609436,2,0,0,1
1398626,1,1,0,0
1311231,0,3,1,1
2279000,1,1,1,2
236921,0,0,0,3
2566259,0,2,0,2
758937,2,3,1,3
2260684,2,0,1,2
1190829,2,1,0,3
136106,1,1,1,2
344753,0,2,1,1
568930,1,0,1,0
206115,0,1,1,2
2390644,2,2,1,1
2078679,2,1,1,3
1682651,0,0,1,1
386915,1,1,1,2
972136,2,1,0,2
1806515,4,3,1,1
11589,1,1,1,1
2118461,2,0,0,0
444411,0,2,1,1
691108,3,0,0,2
332401,1,0,0,0
1278488,1,2,0,0
358776,4,3,0,3
387418,3,0,1,0
872408,3,1,0,1
646098,4,2,0,1
396595,2,0,0,2
1366860,0,2,1,2
1046882,1,0,0,2
470861,2,0,1,0
1455257,4,0,1,3
1274780,4,2,1,0
379184,2,0,1,1
1273630,1,3,0,2
492291,1,1,1,2
145873,1,2,1,1
1388284,0,1,1,1
712610,4,0,0,2
1116065,0,1,0,2
660499,2,1,1,1
1918987,2,1,1,0
1357894,2,2,0,1
190418,3,3,0,3
1060658,0,0,1,3
1443203,2,0,1,2
1772839,0,2,0,0
2385774,2,1,0,0
1059319,2,2,1,2
831775,0,1,0,2
881346,3,2,1,0
1066317,1,2,1,2
13651,1,0,0,2
208920,1,1,1,0
308753,0,2,1,3
2564257,4,3,1,2
565041,1,0,1,1
1602153,4,1,1,2
173930,2,0,1,2
202811,2,0,1,1
353369,2,3,1,2
1201176,2,1,0,3
2047577,4,3,0,3
685113,2,0,1,1
1686060,2,0,0,0
151004,4,0,0,2
2126192,0,0,0,2
1981464,2,1,0,2
1862581,4,2,1,1
1255780,4,3,0,3
1962300,4,0,0,0
1515355,3,1,0,2
1001779,2,1,1,1
2093105,4,0,0,0
1123959,2,0,1,3
1876297,3,0,1,0
1364481,0,0,0,2
998236,2,1,0,3
328415,0,0,1,3
1347129,1,1,0,1
1117062,3,0,1,2
1033930,3,2,0,1
45117,1,3,1,0
1005769,0,0,0,3
712609,2,0,0,2
740495,0,1,1,3
2497991,4,2,1,1
1017324,2,1,0,3
120491,3,0,0,2
1645794,0,0,0,3
1658790,4,1,0,0
2451020,4,0,0,2
1878798,2,1,1,3
1790903,1,2,1,0
1254683,3,1,1,3
874943,2,1,0,3
121456,3,0,0,3
1140108,0,1,0,2
515436,3,2,0,1
272689,2,0,0,1
1247177,1,1,1,2
263240,1,1,0,0
2539549,1,0,1,1
2565654,1,0,1,2
334701,3,0,1,2
42921,4,1,1,0
2011399,3,1,0,0
433945,4,3,0,2
2151149,0,0,1,3
1415954,1,0,1,3
1086360,1,0,1,3
2419258,1,2,1,3
2380848,3,1,1,3
1550216,2,0,0,0
596533,0,1,1,2
287901,2,2,0,2
188613,1,1,1,3
1654508,2,0,1,2
1313126,1,0,1,2
51334,4,0,1,0
2374451,2,1,0,3
2031093,4,0,1,0
548064,0,0,0,3
946102,0,0,1,0
1790158,1,0,0,0
1403184,2,0,1,0
1535440,2,1,2,3
1426604,0,2,0,0
1815755,0,2,1,2
2059652,2,0,0,2
1666394,2,2,1,3
1759415,2,1,0,1
1959936,3,1,0,1
998862,0,3,0,0
2625420,2,3,1,0
573975,3,0,0,0
392722,3,3,0,0
1401650,0,1,0,3
988104,1,2,0,3
977632,1,2,1,2
2557870,4,0,1,1
1793899,3,1,0,2
1340535,4,0,0,3
1888322,1,0,0,0
1283598,3,0,1,2
1784150,4,2,0,0
2271251,4,3,0,1
65932,3,2,0,3
1828884,0,2,0,2
1878728,2,2,1,0
1922778,1,1,1,2
1176404,0,0,1,0
2265116,1,1,0,2
1078701,1,0,1,1
1832577,2,1,1,0
748922,2,1,1,2
1013802,4,3,1,1
1131325,3,0,1,1
2244378,0,0,1,2
494639,4,1,1,1
1903158,2,1,0,3
220427,4,1,1,1
2225116,2,1,1,1
1445632,1,0,0,3
2592823,3,3,1,2
1288603,4,0,0,2
2556926,2,0,0,1
1190070,4,1,0,3
1312846,1,0,1,0
2226229,2,3,1,1
1563935,2,1,0,0
69809,1,0,1,1
1349753,4,0,1,1
785768,2,0,1,3
426476,0,3,0,2
810636,3,1,0,3
468713,0,2,1,2
222290,3,0,1,3
349407,4,3,1,0
311232,2,1,0,0
2596999,1,0,0,3
1025601,4,2,1,0
1743759,3,3,1,2
2385553,3,1,0,0
526466,2,1,0,0
2648861,4,2,1,1
1210631,3,0,1,1
2314531,2,3,1,0
618272,4,3,0,2
2532807,2,0,1,2
412535,4,2,0,0
1315005,3,0,0,2
1358911,2,0,1,3
507603,2,3,2,0
1507649,2,1,0,1
845529,1,1,1,1
1479907,2,2,0,3
236271,3,2,0,1
2422676,3,0,0,2
1636093,4,3,0,2
995594,2,0,1,0
2431481,2,1,0,0
1980668,4,3,0,3
402321,3,2,1,2
1344564,0,0,0,1
1632603,0,1,0,3
2567280,1,0,1,0
1623166,4,1,1,3
521932,4,1,1,3
105086,0,0,0,2
2072554,3,0,2,0
2231529,1,0,0,2
2103439,2,1,1,3
261764,2,2,1,0
193476,1,0,0,1
1576540,4,3,1,2
1783594,4,0,0,0
503334,1,1,0,0
183903,2,0,1,1
2606799,4,0,0,1
1236127,1,1,1,1
2375962,1,0,1,1
2212071,2,0,0,2
1252841,2,1,1,2
247898,1,1,0,0
970975,0,2,0,0
1581186,0,1,1,1
1129620,4,1,0,2
584750,0,0,0,2
11409,0,1,1,2
1875495,0,1,0,2
1403217,2,0,0,3
2147527,0,2,0,3
2418486,0,0,1,3
1476323,3,0,0,2
2345723,2,0,1,3
2640085,1,2,1,1
1803154,2,1,0,3
1251170,1,0,1,1
527491,2,2,1,0
391517,2,1,0,3
828919,1,0,1,1
196494,4,1,1,0
715897,3,2,1,0
268917,4,3,1,2
41422,2,1,2,1
2019055,2,1,0,2
348960,2,1,0,0
1167731,3,2,1,1
2468831,0,0,1,3
219925,1,3,1,1
1025193,1,1,0,0
630887,2,1,1,3
1461435,1,0,1,0
1838586,1,3,1,3
1515430,1,0,0,3
1807053,2,1,1,2
1172326,4,1,1,2
1785842,0,0,0,0
803752,2,2,1,3
1581265,2,0,0,2
1824543,1,1,1,0
1283204,2,1,1,1
1272122,2,2,1,0
1025579,1,3,0,0
712664,0,0,0,0
1331154,3,1,0,2
2632461,4,1,0,2
44937,0,1,0,2
656399,1,1,1,3
439011,4,0,0,0
1436762,2,1,0,2
1644750,1,1,1,1
2031561,2,0,0,0
616720,3,0,1,3
2467008,0,1,1,2
975874,0,2,1,1
701730,3,2,1,2
1614320,2,0,0,0
115498,0,1,1,0
931626,2,2,0,1
699878,1,1,0,2
1694958,3,1,1,3
66414,3,2,1,1
2519847,0,3,1,0
948069,4,1,0,0
67315,2,1,0,2
704249,2,2,1,2
454417,1,2,0,2
1995318,2,1,1,2
2158448,3,2,0,2
574843,4,2,0,3
714960,1,3,0,3
620771,1,0,0,1
253876,3,0,1,0
1632700,4,2,1,2
603277,2,0,0,1
79160,0,0,0,0
1859725,1,2,0,3
283774,1,1,0,0
1983667,2,2,0,2
2267507,3,2,0,3
1813349,2,0,0,0
2424721,0,1,0,3
1275804,2,2,0,2
1204327,3,1,0,3
2143489,3,0,0,1
672980,2,0,0,1
166100,3,3,0,2
2537764,4,1,1,2
1650301,2,3,0,2
553931,3,0,1,0
214166,3,3,1,0
6689,2,3,0,1
109089,2,2,0,0
1854303,4,2,1,0
525003,3,3,1,3
2312349,1,3,1,2
188416,2,1,0,0
2213550,2,1,0,1
24344,2,0,0,3
2344483,1,1,0,1
531155,2,1,0,1
1959707,3,3,1,0
2120279,0,3,0,0
1977959,3,1,1,0
21983,1,3,1,2
2173816,2,3,1,1
78931,3,3,2,1
2145227,0,0,0,3
2463079,2,0,0,3
1286051,3,2,1,0
958104,0,0,0,2
489962,4,1,0,1
2297863,1,0,1,1
958382,1,1,0,1
248932,2,0,0,3
1756658,4,0,1,0
2579794,3,1,1,2
1628475,3,0,0,0
206809,2,0,1,2
1333,0,0,0,2
445828,4,0,0,3
2079559,0,2,1,3
1007809,0,2,0,3
1562675,2,2,1,2
1477923,2,0,0,0
44783,1,0,1,3
52540,2,0,0,0
2436327,4,3,1,3
1830211,2,0,0,1
1857979,0,0,1,0
1198785,1,0,1,3
870391,0,2,1,2
2164676,2,0,0,0
1281996,2,0,0,0
1853885,0,1,0,3
2646060,2,0,1,2
709342,4,0,1,0
1195585,1,1,0,2
1319527,2,1,1,1
1478381,2,1,1,0
1658752,4,0,1,2
41371,2,1,0,2
1479793,0,1,1,2
1406148,1,1,0,0
2446687,4,2,1,0
968796,2,1,0,2
2266857,1,1,0,0
1456369,1,2,1,3
1078792,4,2,0,2
104768,1,1,1,1
372528,4,1,1,2
2240742,0,1,0,0
1401399,1,0,0,2
402377,0,0,0,2
51230,1,0,0,3
2229289,1,3,0,1
2554745,2,0,1,1
1710932,3,1,1,2
1355097,4,1,1,0
1231910,2,1,1,1
2599552,2,0,0,2
1394444,0,2,1,3
1094443,2,0,0,1
77266,4,1,1,1
153249,3,1,0,1
2590630,0,2,1,0
2596383,2,1,0,3
2601294,1,2,0,2
2623268,2,0,1,0
1756597,4,0,1,3
1673185,3,0,0,2
2611525,0,1,1,0
2013198,4,0,1,3
1704175,4,1,0,0
2186436,2,3,0,1
2252223,4,0,1,1
780282,2,1,1,1
203667,3,0,1,2
2338873,4,1,1,3
479779,3,1,0,2
1927897,1,3,0,2
719833,3,0,0,0
871489,3,1,0,3
968765,3,1,1,0
1057518,3,2,1,0
257517,2,0,0,2
2003554,2,1,0,1
2203875,4,0,0,0
2213289,2,1,0,2
2630072,3,0,0,0
1142291,3,0,1,0
1733188,0,0,1,2
1614895,2,0,1,3
1947922,0,2,1,0
1036823,2,2,1,0
1197233,3,1,0,1
1100037,0,1,0,1
1130826,3,0,0,3
620147,1,0,1,2
1479047,0,0,1,1
1221390,3,2,1,3
2193643,0,3,1,1
544496,1,3,0,0
357507,2,3,1,3
976059,3,3,1,3
820624,3,3,0,0
924839,2,1,1,0
966255,1,0,0,3
108052,1,0,1,2
375319,3,0,0,0
309333,1,2,1,0
1599030,1,2,1,2
2443370,4,1,1,2
871580,2,1,1,0
311641,0,3,0,1
532382,4,1,0,3
2378011,1,0,0,3
946970,2,0,0,3
175763,2,1,0,2
619721,0,0,1,3
1248452,2,0,0,3
1863843,4,1,1,3
1915354,0,1,2,0
920625,2,0,1,2
1100170,0,0,1,0
1733406,2,1,1,3
755319,2,1,0,0
1743030,1,0,1,0
309567,0,0,1,1
2096587,2,0,0,0
345869,1,2,0,0
1544094,3,0,1,0
1022903,2,1,0,1
290951,4,0,0,2
1737484,4,0,1,0
183215,1,2,0,2
2065639,0,0,0,3
250836,3,2,1,3
2126122,2,0,1,0
1206452,1,0,0,3
2068821,2,0,1,2
1924939,1,3,0,0
1940163,0,2,0,1
1033433,1,1,0,2
1213801,2,1,0,0
1045221,2,0,0,3
253037,3,1,0,2
341954,3,2,1,3
697945,1,2,1,0
1115632,3,2,1,3
2103655,3,1,1,0
2495200,3,1,0,3
714550,1,0,0,2
979820,2,0,1,3
514312,1,1,1,0
2025577,4,0,0,1
1589677,2,0,1,2
425033,2,1,1,1
2352327,4,1,1,0
156078,1,3,0,1
851855,4,0,1,3
2441707,1,0,0,1
1278394,3,1,1,3
962955,3,2,1,2
811218,4,0,1,1
636475,2,1,1,1
1087412,3,1,0,1
410537,0,1,1,1
1586499,1,1,1,0
917063,2,1,0,3
1023101,1,0,1,0
2393306,1,3,1,3
788774,4,2,1,0
2586963,2,0,0,2
2368791,2,1,0,3
244266,0,2,0,2
2622138,0,1,1,3
793228,0,0,1,1
1283965,0,3,1,0
2135038,0,1,1,0
722006,3,1,1,2
1511683,1,3,1,1
1939663,2,1,0,2
1763372,2,2,0,0
1834472,1,0,1,0
209549,2,1,1,2
515850,3,1,0,0
1455472,2,2,0,1
2301782,4,2,0,1
770921,4,2,1,2
297498,3,0,1,2
386510,3,1,0,3
2494367,3,2,1,1
1607574,3,0,1,2
1594095,0,1,1,2
1124822,4,2,1,0
544022,2,1,0,3
1817216,4,1,0,2
1931698,1,3,0,0
569099,2,1,1,0
1771085,2,1,0,3
604949,1,0,1,3
213541,0,0,0,3
790920,3,1,0,3
2554707,3,2,0,2
376148,3,1,0,2
1689439,0,0,0,3
2485566,3,0,0,2
2232958,3,2,0,2
2267858,2,0,1,2
1956967,4,2,1,3
2494005,1,1,1,1
323148,1,0,0,0
2158065,2,0,0,1
2370268,4,1,0,0
2152838,0,0,1,2
1407746,1,2,0,2
1666581,1,1,1,1
871548,1,1,0,1
2385706,4,0,0,0
1969676,3,1,1,3
1927329,4,2,1,1
1938559,3,1,0,0
199769,4,0,1,3
2576108,2,1,1,2
162854,4,0,0,1
215406,1,0,0,2
2095263,2,1,1,3
556045,0,0,0,1
817851,0,1,1,3
2491399,1,1,0,1
1134816,0,1,1,0
660454,1,0,1,1
581199,4,1,1,3
1545189,1,1,0,3
1929487,3,2,1,1
528384,4,0,0,1
2646115,4,3,1,2
727242,3,1,1,1
247940,4,0,1,0
369761,4,2,0,2
1065126,3,3,1,0
1101467,2,2,1,0
393413,1,3,0,2
478176,1,0,1,0
1369550,4,0,0,0
2428502,2,2,0,0
282525,1,0,0,3
2085230,2,3,1,1
282522,2,3,0,1
2246070,1,0,1,0
532649,1,0,1,2
1053903,4,1,1,2
1521266,2,0,0,1
2303969,0,2,1,2
2580481,2,1,0,1
2551806,2,0,1,2
1749903,1,0,0,2
2549926,2,1,1,2
781779,1,2,1,2
22853,4,1,1,3
1788346,0,1,1,3
1858421,2,0,1,3
354704,4,2,1,1
841137,0,0,0,2
475797,1,1,1,2
1876156,2,1,0,1
769670,1,0,2,0
1272379,4,0,1,3
2170930,3,0,0,1
788185,0,3,0,1
336990,4,1,1,0
2625746,2,0,0,0
2627825,2,0,1,1
109124,4,1,0,2
834128,1,1,1,2
113694,3,1,0,3
32555,0,0,1,1
592671,1,3,0,0
2618956,2,2,1,1
1871063,2,3,1,3
2437901,1,0,0,1
951568,1,2,0,2
1314869,0,2,1,0
1370323,3,1,2,1
475143,0,2,1,2
1618217,0,0,0,2
1547807,0,0,1,1
968759,4,2,0,2
2299121,2,0,0,3
477486,2,0,0,3
1307784,1,0,1,2
1234622,2,2,0,2
164845,4,1,0,1
1318399,2,1,1,1
2178924,1,2,0,2
1022046,2,2,0,0
962342,2,0,1,1
334051,2,1,0,1
665242,4,0,0,3
701615,2,0,0,0
1304280,2,2,1,0
2237185,4,0,0,1
2175436,3,1,0,3
406221,0,2,0,0
1926750,0,0,0,3
257250,2,0,0,2
1281248,3,2,0,0
2128386,0,3,0,1
179647,3,0,1,1
1029943,3,1,0,1
786695,0,0,1,2
1532433,2,0,1,0
2316025,2,1,0,0
2506266,4,2,1,1
1130920,0,2,0,0
1928584,1,0,0,1
35770,4,2,0,3
1055670,4,0,1,0
1740800,0,3,0,0
254887,2,0,0,1
187322,1,2,0,1
2361606,1,2,1,3
118694,2,0,1,0
1878820,2,2,1,2
2391686,2,0,0,2
126899,1,0,1,3
2269450,3,0,1,2
2130480,1,0,0,1
1819462,0,3,0,0
1130533,2,3,0,1
178511,4,0,0,1
1649641,1,0,1,2
1630448,0,3,0,1
2160278,1,0,0,3
767139,1,0,1,1
1025764,0,1,0,0
964865,1,0,0,0
500867,3,0,0,3
294943,2,1,1,1
176054,2,0,0,1
1697078,2,0,1,1
2031917,4,2,0,3
1068821,1,0,1,1
120004,1,0,0,0
1367949,2,0,1,2
1205848,3,2,1,2
1386457,0,1,1,1
1252571,4,0,0,2
283935,1,0,1,3
137360,1,3,0,0
1204833,3,0,1,2
504593,1,3,1,3
2141351,3,0,1,0
1873737,3,1,0,2
388752,0,1,0,0
2601604,3,0,0,0
2609783,2,0,0,0
478484,3,1,1,0
148844,2,1,0,0
253394,3,1,1,3
705026,1,2,1,0
1634333,3,0,0,0
2040306,2,1,0,1
44402,2,0,0,3
2040110,1,2,0,2
2052691,1,2,0,1
187834,4,1,0,0
2340535,1,0,1,0
489033,3,3,1,3
2526250,1,0,0,3
561923,4,3,0,2
2092379,3,1,1,1
1998346,1,0,1,0
1144273,3,1,0,1
328674,4,1,1,3
47512,4,2,0,2
2159701,2,3,1,3
2069119,0,3,1,0
1241521,3,1,0,3
1616563,3,0,1,1
1095071,0,1,0,1
1105606,2,0,1,1
1806991,3,0,0,3
169126,4,0,0,3
1386030,0,1,1,1
238740,1,2,1,0
2083665,1,1,0,2
2491723,1,0,1,3
1045551,0,2,0,1
1873176,0,1,0,3
965528,4,2,0,1
593454,1,0,0,2
2291427,3,1,1,2
1182116,3,1,1,1
2245500,2,0,2,3
677213,4,0,0,0
1927891,2,1,1,1
1163795,2,2,0,3
2079661,1,2,0,0
828724,1,3,2,2
2560039,1,1,0,2
704538,0,2,1,2
1873379,0,1,0,0
277990,2,1,0,0
1052493,4,1,0,0
1945838,3,3,0,1
1770331,4,3,0,1
2584024,2,0,2,0
1654540,0,1,1,0
2419782,2,0,0,2
2068749,0,3,1,1
2331444,0,0,2,2
1150223,0,2,0,0
755056,2,2,1,3
1646880,0,1,0,0
1506586,0,0,0,2
2267950,4,0,1,3
1188701,4,3,0,3
2531820,2,1,1,1
1848973,3,1,0,0
1024854,1,0,0,1
50123,2,2,0,1
631945,2,0,1,1
1122977,2,0,0,2
1486636,4,1,1,2
1374830,2,1,1,3
630174,1,0,1,0
1068377,0,3,0,1
2070019,2,1,0,2
1146281,1,1,0,1
1136807,1,1,1,2
1931131,3,1,1,1
2043472,2,2,0,3
1276114,4,0,1,1
1950189,4,0,0,1
1046918,3,1,1,3
1320942,4,1,0,2
2091987,2,0,1,2
2523426,3,3,1,0
808635,1,3,0,2
1149883,0,1,0,1
908840,1,2,0,3
61765,4,3,0,3
565510,1,0,1,0
2592894,3,0,0,3
1528420,0,3,1,3
563607,3,0,0,3
66230,3,0,0,0
1598429,1,2,1,1
593167,2,0,0,3
1765182,1,2,1,0
2264426,4,0,1,0
2427632,1,1,0,2
698713,2,1,1,3
510719,2,1,1,1
521461,2,0,1,2
1399261,3,0,1,3
1902658,2,0,2,2
2455107,3,3,0,1
